Company_Name,Year,Revenue_Increase_Rate,Operating_Income(added)_Increase_Rate,Net_Income(added)_Increase_Rate,Revenue_Profit_Status,Operating_Income(added)_Profit_Status,Net_Income(added)_Profit_Status,Debt_Equity_Ratio,ROA,ROE,EPS,PER,Current_Stock,Future_Stock
CJ제일제당,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,26179.0,13.98,"{'Low': 364000, 'High': 368500, 'Close': 366000}","{'Low': 324500, 'High': 335000, 'Close': 330500}"
CJ제일제당,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,55416.0,5.96,"{'Low': 324500, 'High': 335000, 'Close': 330500}","{'Low': 250000, 'High': 254500, 'Close': 252500}"
CJ제일제당,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,L_Turned,21.54,7.1,8.63,9516.0,26.53,"{'Low': 250000, 'High': 254500, 'Close': 252500}","{'Low': 379000, 'High': 385000, 'Close': 381000}"
CJ제일제당,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Turned,25.28,6.8,8.52,42783.0,8.91,"{'Low': 379000, 'High': 385000, 'Close': 381000}","{'Low': 385500, 'High': 394000, 'Close': 387500}"
CJ제일제당,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,38246.0,10.13,"{'Low': 385500, 'High': 394000, 'Close': 387500}","{'Low': 379000, 'High': 387000, 'Close': 380500}"
CJ제일제당,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,37188.0,10.23,"{'Low': 379000, 'High': 387000, 'Close': 380500}",0
삼성엔지니어링,2017,0.0,0.0,0.0,P,L,L,30.79,14.53,19.0,-329.0,-37.69,"{'Low': 12100, 'High': 12600, 'Close': 12400}","{'Low': 17350, 'High': 17800, 'Close': 17600}"
삼성엔지니어링,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,L_Contd,P_Turned,26.61,14.98,18.97,313.0,56.23,"{'Low': 17350, 'High': 17800, 'Close': 17600}","{'Low': 19200, 'High': 19350, 'Close': 19200}"
삼성엔지니어링,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Turned,P_Contd,21.54,7.1,8.63,1637.0,11.73,"{'Low': 19200, 'High': 19350, 'Close': 19200}","{'Low': 12900, 'High': 13250, 'Close': 13250}"
삼성엔지니어링,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,1288.0,10.29,"{'Low': 12900, 'High': 13250, 'Close': 13250}","{'Low': 22600, 'High': 23200, 'Close': 22900}"
